polity_name,truhart_id,dynasty_name,dynasty_id,dyn_start,dyn_end,dynasty_source,rulers_coded,rulers_source,fs_start,fs_end,IACW_primary_start,IACW_primary_end,IACW_partial_start,IACW_partial_end,start_core,pres_country,proxy_location,core_latitude,core_longitude,successor,IACW_successor,fs_successor,dynastic_end_conquest,core_region,state_history,inner_asia_core_dist,EPR1_ID,EPR2_ID,EPR3_ID
Bukhara,10.143,Astrakhanids,31,1599,1784,Truhart (1996),1,Tapsell 1983,,,1599,1784,,,Bukhara,UZ,"Bukhoro, Uzbekistan",40.012587,63.875724,Bukhara (Manqit),1,0,0,Inner_Asia,20,0,5,6,13
Kokand,10.153,Khwaja,166,1700,1876,Truhart (1996),0,,,,1700,1876,,,Kokand,UZ,"Kokand, Uzbekistan",40.528611,70.9425,Russia,0,0,1,Inner_Asia,9,0,5,7,13
Qarakhanids,10.172,Qarakhanids,263,830,1130,Truhart (1996),1,Tapsell 1983,,,830,1130,,,Balasagun,KG,"Chuy, Kyrgyzstan",42.614032,74.113474,Khitan,1,0,1,Inner_Asia,1,0,5,7,13
Khitan,10.1722,Qara Qitay,261,1124,1218,Truhart (1996),1,Tapsell 1983,,,1124,1218,,,Balasagun,KG,"Chuy, Kyrgyzstan",42.614032,74.113474,Mongols,1,0,1,Inner_Asia,4,0,5,7,13
Dsungaria,10.174,Zungars,372,1619,1756,Truhart (1996),0,,,,1619,1756,,,Dsungaria,CN,"Northern Xinjiang, China",45,85,China (Qing),1,1,1,Inner_Asia,16,0,5,7,13
Ghuzz,10.1763,Ghuzz,113,900,1150,Truhart (1996),0,,,,900,1150,,,Yagkent,KZ,"Jankent, Kazakhstan",45.612222,61.921111,Qipchaks,1,0,1,Inner_Asia,9,0,5,6,13
Kazakhstan (White Horde),10.1766,Chinggisids,521,1220,1380,Truhart (1996),1,Tapsell 1983,,,1220,1380,,,Sozak,KZ,"Sozak, Kazakhstan",44.133333,68.466667,Golden Horde,1,0,1,Inner_Asia,0,0,5,6,13
Kazakh,10.1771,Kicik Guz,167,1535,1824,Truhart (1996),0,,,,1535,1824,,,Sozak,KZ,"Sozak, Kazakhstan",44.133333,68.466667,Russia,0,0,1,Inner_Asia,7,0,5,6,13
Mongols (Chagatai),10.178,Chinggisids,70,1227,1403,Truhart (1996),1,Tapsell 1983,,,1227,1403,,,Almaliq,CN,"Huocheng, Ili, Xinjiang, China",44.196415,80.418183,Samarqand (Timurids),1,0,1,Inner_Asia,7,0,5,7,13
Mogholistan,10.191,Dughlat,86,1348,1514,Truhart (1996),1,Tapsell 1983,,,1348,1514,,,Aksu,CN,"Aksu, China",41.185,80.2904,Mughals,1,0,1,Inner_Asia,8,0,5,7,13
Ladakh,10.246,Yarlung,364,928,1470,Truhart (1996),0,,928,1470,,,,,Shey,IN,"Shey, India",34.073182,77.639294,Ladakh (rNam-gyal),0,1,1,Indian_Subcontinent,4,89,5,7,13
Ladakh,10.246,rNam-gyal,284,1535,1843,Truhart (1996),1,Tapsell 1983,1535,1843,,,,,Leh,IN,"Leh, India",34.164167,77.584722,Sikh Empire,0,0,1,Indian_Subcontinent,7,85,5,7,13
China (Song),10.313,Song,317,960,1275,Truhart (1996),1,"Morby 1989, p.219",997,1275,,,,,Bianjing,CN,"Kaifeng, China",34.618738,114.489446,China (Yuan),1,0,1,East_Asia,30,434,6,7,14
Jin,10.314,Jurchen,149,1115,1234,Truhart (1996),1,"Morby 1989, p.219",,,1115,1234,,,Acheng,CN,"Acheng, China",45.556372,126.974487,China (Yuan),1,0,1,Inner_Asia,2,0,6,7,14
China (Yuan),10.315,Yuan,367,1276,1367,Truhart (1996),1,"Morby 1989, p.220",,,,,1276,1367,Beijing,CN,"Beijing, China",39.937967,116.417592,China (Ming),0,1,0,East_Asia,20,206,5,7,14
China (Ming),10.316,Ming,209,1368,1643,Truhart (1996),1,"Morby 1989, p.220",1368,1643,,,,,Nanjing,CN,"Nanjing, China",32.044972,118.773596,China (Qing),1,0,1,East_Asia,29,771,3,7,9
China (Qing),10.317,Qing,268,1644,1912,Truhart (1996),1,"Morby 1989, p.220",1644,1912,,,1644,1912,Beijing,CN,"Beijing, China",39.937967,116.417592,China (Republican),0,0,0,East_Asia,23,206,5,7,14
Great Liao,10.322,Khitan,165,901,1125,Truhart (1996),1,Tapsell 1983,901,1125,,,901,1125,Shangjing,CN,"Chifeng, China",43.249208,117.528938,Jin,1,0,1,Inner_Asia,8,0,5,7,14
Nanzhao (Dali),10.432,Nanzhao,219,649,1253,Truhart (1996),1,Tapsell 1983,649,1253,,,,,Dali,CN,"Dali Town, China",25.7026,100.1554,China (Yuan),1,0,1,East_Asia,7,738,2,7,9
Western Xia ,10.456,Tangut,329,986,1227,Truhart (1996),1,Tapsell 1983,986,1227,986,1227,,,Yinchuan,CN,"Yinchuan, China",38.471266,106.27192,Mongols,1,0,1,Inner_Asia,8,0,5,7,14
Korea,10.479,Koryo,174,918,1391,Truhart (1996),1,Tapsell 1983,,,,,,,Kaesong,KP,"Kaesong, North Korea",37.97083,126.55444,Korea (Joseon),0,1,0,East_Asia,11,292,6,7,14
Korea,10.48,Joseon,148,1392,1910,Truhart (1996),1,"Morby 1989, p.228",1471,1910,,,,,Seoul,KR,South Korea Seoul Yongsan-gu Seoul,37.539619,127.009676,Japan (Meiji),0,0,1,East_Asia,14,354,6,7,14
Japan,10.491,Emperors,94,629,1191,Tapsell (1983),1,Tapsell 1983,,,,,,,Heian,JP,"Kyoto, Japan",35,135.766667,Japan (Minamoto),0,0,0,East_Asia,4,938,6,8,14
Japan,10.491,Minamoto,208,1192,1219,Tapsell (1983),1,Tapsell 1983,,,,,,,Heian,JP,"Kyoto, Japan",35,135.766667,Japan (Fujiwara),0,0,0,East_Asia,9,938,6,8,14
Japan,10.491,Fujiwara,102,1220,1250,Tapsell (1983),1,Tapsell 1983,,,,,,,Heian,JP,"Kyoto, Japan",35,135.766667,Japan (Imperial Shoguns),0,0,0,East_Asia,10,938,6,8,14
Japan,10.491,Imperial Shoguns,140,1251,1333,Tapsell (1983),1,Tapsell 1983,,,,,,,Heian,JP,"Kyoto, Japan",35,135.766667,Japan (Ashikaga),0,0,0,East_Asia,10,938,6,8,14
Japan,10.491,Ashikaga,29,1338,1573,Tapsell (1983),1,Tapsell 1983,,,,,,,Heian,JP,"Kyoto, Japan",35,135.766667,Oda Nobunaga,0,0,0,East_Asia,11,938,6,8,14
Japan,10.491,Tokugawa,334,1603,1868,Tapsell (1983),1,Tapsell 1983,1603,1868,,,,,Edo,JP,"Edo, Japan",35.683889,139.774444,Japan (Meiji),0,0,0,East_Asia,6,1089,6,8,14
Mongols,10.521,Chinggisids,70,1206,1543,Truhart (1996),1,Tapsell 1983,,,1206,1543,,,Avarga,MN,"Avarga, Mongolia",47.102778,109.155833,Disintegration,,,0,Inner_Asia,12,0,5,7,14
Mongols (White Horde),10.533,Chinggisids,70,1227,1395,Truhart (1996),1,Tapsell 1983,,,1227,1395,,,Syr Darya,KZ,Syr Daria,46.154167,60.873611,Golden Horde,1,0,1,Inner_Asia,0,0,5,6,13
Sibir,10.536,Sibir,308,1400,1588,Truhart (1996),0,,,,1400,1588,,,Tyumen,RU,"Tyumen, Russia",57.15,65.533333,Russia,0,1,1,Inner_Asia,0,99,5,10,18
Buyids,10.6123,Buyids,57,934,1055,Truhart (1996),1,Tapsell 1983,,,,,934,1055,Shiraz,IR,"Shiraz, Iran",29.61031,52.53114,Seljuks,1,0,1,Middle_East,20,867,2,6,8
Seljuks,10.6124,Seljuks,301,1038,1157,Truhart (1996),1,"Morby 1989, p.197",,,1038,1157,,,Nishapur ,IR,"Neyshabur, Iran",36.220023,58.820017,Disintegration,,,0,Middle_East,16,77,5,6,13
Mongols (Il-Khan),10.613,Chinggisids,70,1256,1353,Truhart (1996),1,"Morby 1989, p.200, Jackson 1986 (for Togha Timur)",,,1256,1353,,,Maragheh,IR,"Maragheh, Iran",37.364417,46.425792,Disintegration,,,0,Middle_East,21,520,5,6,13
Iran,10.615,Safavids,288,1501,1735,Truhart (1996),1,"Morby 1989, p.202",1501,1735,1501,1514,1515,1735,Tabriz,IR,"Tabriz, Iran",38.08,46.2919,Iran (Afsharids),1,0,1,Middle_East,24,447,5,6,13
Iran,10.615,Afsharids,5,1736,1795,Truhart (1996),1,"Morby 1989, p.202",,,1736,1795,,,Mashhad,IR,"Mashhad, Iran",36.326389,59.543333,Iran (Qajars),1,0,1,Middle_East,23,42,5,6,13
Iran,10.615,Qajars,260,1796,1925,Truhart (1996),1,"Morby 1989, p.202",,,1796,1925,,,Tehran,IR,"Tehran, Iran",35.689167,51.388889,Iran (Pahlavis),0,0,0,Middle_East,24,290,5,6,13
Fars,10.621,Seljuks,301,1056,1147,Truhart (1996),0,,,,1056,1147,,,Fars,IR,"Fars, Iran",29.416667,53.233333,Fars (Salghurids),1,0,0,Middle_East,21,880,2,6,8
Fars,10.621,Timurids,333,1393,1451,Truhart (1996),0,,,,1393,1451,,,Fars,IR,"Fars, Iran",29.416667,53.233333,Fars (Qara Qoyunlu),1,0,1,Middle_East,24,880,2,6,8
Fars,10.621,Qara Qoyunlu,262,1452,1469,Truhart (1996),0,,,,1452,1469,,,Fars,IR,"Fars, Iran",29.416667,53.233333,Aq Qoyunlu,1,0,1,Middle_East,25,880,2,6,8
Kirman,10.622,Seljuks,301,1042,1185,Truhart (1996),1,Tapsell 1983,,,1042,1185,,,Kerman,IR,"Kerman, Iran",30.28321,57.07879,Kirman (Ghuzz),1,0,1,Middle_East,16,662,2,6,8
Kirman,10.622,Ghuzz,113,1186,1196,Truhart (1996),0,,,,1186,1196,,,Kerman,IR,"Kerman, Iran",30.28321,57.07879,Kirman (Khitan),1,0,1,Middle_East,17,662,2,6,8
Kirman,10.622,Qutlugh Khanid,273,1222,1303,Truhart (1996),1,Tapsell 1983,,,1222,1303,,,Kerman,IR,"Kerman, Iran",30.28321,57.07879,Mongols (Il-Khanate),1,0,1,Middle_East,18,662,2,6,8
Khurasan,10.631,Ghuzz,113,1153,1187,Truhart (1996),0,,,,1153,1187,,,Khurasan,IR,Khurasan,36,62,Khwarizm (Anushtiginids),1,0,1,Inner_Asia,17,0,5,6,13
Cilicia,10.6803,Rubenids,286,1080,1157,Truhart (1996),1,Tapsell 1983,1080,1157,,,,,Tarson,TR,"Tarsus, Turkey",36.91876,34.8784,Byzantine Empire I,0,0,1,Middle_East,22,877,5,6,12
Cilicia,10.6803,Rubenids,286,1173,1231,Truhart (1996),1,Tapsell 1983,1173,1231,,,,,Tarson,TR,"Tarsus, Turkey",36.91876,34.8784,Mongols,1,0,1,Middle_East,23,877,5,6,12
Cilicia,10.6803,Hethumids,128,1335,1340,Truhart (1996),1,Tapsell 1983,1335,1340,,,,,Tarson,TR,"Tarsus, Turkey",36.91876,34.8784,Egypt (Bahris),1,0,1,Middle_East,25,877,5,6,12
Cilicia,10.6803,Lusignans,189,1341,1374,Truhart (1996),1,Tapsell 1983,1341,1374,,,,,Tarson,TR,"Tarsus, Turkey",36.91876,34.8784,Egypt (Bahris),1,0,1,Middle_East,25,877,5,6,12
Tabriz,10.706,Jalayarids,145,1336,1386,Truhart (1996),0,,,,1336,1386,,,Tabriz,IR,"Tabriz, Iran",38.081667,46.299167,Aq Qoyunlu,1,0,1,Middle_East,22,447,5,6,13
Tabriz,10.706,Qara Qoyunlu,262,1387,1467,Truhart (1996),1,Tapsell 1983,,,1387,1467,,,Tabriz,IR,"Tabriz, Iran",38.081667,46.299167,Aq Qoyunlu,1,0,1,Middle_East,22,447,5,6,13
Tabriz,10.706,Aq Qoyunlu,18,1468,1500,Truhart (1996),1,Tapsell 1983,,,1468,1500,,,Tabriz,IR,"Tabriz, Iran",38.081667,46.299167,Iran (Safavids),1,1,1,Middle_East,23,447,5,6,13
Iberia,10.731,Bagratuni,35,974,1072,Truhart (1996),1,Tapsell 1983,974,1072,,,,,Iberia,GE,"Armazi, Georgia",41.816667,44.666667,Seljuks,1,0,1,Middle_East,13,142,5,6,12
Iberia,10.731,Bagratuni,35,1122,1466,Truhart (1996),1,Tapsell 1983,1122,1466,,,,,Iberia,GE,"Armazi, Georgia",41.816667,44.666667,Disintegration,,,0,Middle_East,15,142,5,6,12
Byzantine Empire I,10.771,Makedonian,195,867,1056,Truhart (1996),1,Kokkonen & Sundell 2014,,,,,,,Constantinople,TR,Constantinople,41.013889,28.955556,Byzantine Empire I (Komnenos),0,0,0,Middle_East,14,264,5,6,12
Byzantine Empire I,10.771,Komnenos,172,1057,1184,Truhart (1996),1,Kokkonen & Sundell 2014,,,,,,,Constantinople,TR,Constantinople,41.013889,28.955556,Byzantine Empire I (Doukids),0,0,0,Middle_East,16,264,5,6,12
Byzantine Empire I,10.771,Angelos,13,1185,1204,Truhart (1996),1,Kokkonen & Sundell 2014,,,,,,,Constantinople,TR,Constantinople,41.013889,28.955556,Venice,0,0,1,Middle_East,17,264,5,6,12
Rum,10.782,Seljuks,301,1080,1307,Truhart (1996),1,Tapsell 1983,,,1080,1307,,,Iznik,TR,"Nicaea, Turkey",40.42861,29.72111,Mongols (Il-Khanate),1,0,1,Middle_East,18,342,5,6,12
Danishmends,10.784,Danishmends,80,1085,1173,Truhart (1996),1,Tapsell 1983,,,1085,1173,,,Sivas,TR,"Sivas, Turkey",39.75,37.016667,Rum (Seljuks),1,0,1,Middle_East,20,562,5,6,12
Byzantine Empire II,10.811,Palaiologos,239,1261,1453,Truhart (1996),1,Kokkonen & Sundell 2014,,,,,,,Constantinople,TR,Constantinople,41.013889,28.955556,Ottoman Empire,0,0,1,Middle_East,18,264,5,6,12
Ottoman Empire,10.812,Osmans,238,1237,1922,Truhart (1996),1,"Morby 1989, p.191",,,1237,1349,,,Sogut,TR,"Sögüt, Turkey",40.03572,30.197823,Turkey,0,0,0,Middle_East,20,397,5,6,12
Oman,10.826,Yarubids,365,1624,1748,Truhart (1996),1,Tapsell 1983,1678,1748,,,,,Muscat,OM,"Muscat, Oman",23.588889,58.408333,Oman (Al-bu-saids),0,1,0,Middle_East,9,1278,2,6,8
Oman,10.826,Al-bu-saids,8,1749,1861,Truhart (1996),1,Tapsell 1983,1749,1861,,,,,Muscat,OM,"Muscat, Oman",23.588889,58.408333,Division,,,0,Middle_East,10,1278,2,6,8
Tihama,10.852,Ayyubids,33,1175,1227,Truhart (1996),1,Tapsell 1983,,,1175,1227,,,Tihama Plain,YE,al-Hudaydah,14.802222,42.951111,Tihama (Rasulids),0,1,0,Middle_East,10,2722,2,2,8
Tihama,10.852,Rasulids,526,1228,1454,Truhart (1996),0,,1228,1454,,,,,Tihama Plain,YE,al-Hudaydah,14.802222,42.951111,Tihama (Tahirids),0,,0,Middle_East,11,2722,2,2,8
Sana'a,10.853,Rasulids,526,1273,1447,Truhart (1996),0,,1273,1447,,,,,Sana'a,YE,"Sanaa, Yemen",15.35472,44.20667,Tihama (Tahirids),0,,0,Middle_East,19,2617,2,2,8
Sana'a,10.853,Qasimids,266,1630,1848,Truhart (1996),1,Tapsell 1983,1630,1848,,,,,Sana'a,YE,"Sanaa, Yemen",15.35472,44.20667,Disintegration,,,0,Middle_East,23,2617,2,2,8
Abyan,10.871,Ayyubids,33,1175,1228,Truhart (1996),0,,,,1175,1228,,,Abyan,YE,"Abyan Governorate, Yemen",13.333333,45.383333,Abyan (Rasulids),0,1,0,Middle_East,13,2791,2,2,8
Abyan,10.871,Rasulids,526,1233,1449,Truhart (1996),0,,1233,1449,,,,,Abyan,YE,"Abyan Governorate, Yemen",13.333333,45.383333,Abyan (Tahirids),0,,0,Middle_East,14,2791,2,2,8
Mosul ,10.912,Uqaylids,525,992,1095,Truhart (1996),0,,,,,,,,Mosul,IQ,"Mosul, Iraq",36.335,43.11889,Mosul (Seljuks),1,0,1,Middle_East,26,734,5,6,12
Mosul ,10.912,Seljuks,301,1096,1126,Truhart (1996),0,,,,1096,1126,,,Mosul,IQ,"Mosul, Iraq",36.335,43.11889,Mosul (Zangids),1,0,0,Middle_East,27,734,5,6,12
Mosul ,10.912,Zangids,369,1127,1262,Truhart (1996),1,Tapsell 1983,,,,,1127,1262,Mosul,IQ,"Mosul, Iraq",36.335,43.11889,Mongols (Il-Khanate),1,0,1,Middle_East,28,734,5,6,12
Baghdad,10.914,Abbasids,58,810,1258,Tapsell (1983),1,"Morby 1989, p.178",810,1258,,,850,1258,Baghdad,IQ,"Baghdad, Iraq",33.34058,44.40088,Mongols (Il-Khanate),1,0,1,Middle_East,30,970,5,6,13
Baghdad,10.914,Jalayarids,145,1336,1410,Truhart (1996),1,Tapsell 1983,,,1336,1410,,,Baghdad,IQ,"Baghdad, Iraq",33.34058,44.40088,Baghdad (Aq Qoyunlu),1,0,1,Middle_East,35,970,5,6,13
Baghdad,10.914,Aq Qoyunlu,18,1411,1502,Truhart (1996),0,,,,1411,1502,,,Baghdad,IQ,"Baghdad, Iraq",33.34058,44.40088,Iran (Safavids),1,1,1,Middle_East,36,970,5,6,13
Hilla,10.918,Mazyadids,526,1012,1152,Truhart (1996),0,,,,,,,,Hillah,IQ,"Hillah, Iraq",32.4775,44.431389,Baghdad (Abbasids),1,1,1,Middle_East,36,1030,5,6,13
Sinjar,10.92,Zangids,369,1170,1218,Truhart (1996),1,Tapsell 1983,,,1170,1218,,,Sinjar,IQ,"Sinjar, Iraq",36.3225,41.864167,Sinjar (Ayyubids),1,0,1,Middle_East,29,779,5,6,12
Sinjar,10.92,Ayyubids,33,1219,1396,Truhart (1996),0,,,,1219,1396,,,Sinjar,IQ,"Sinjar, Iraq",36.3225,41.864167,Aq Qoyunlu,1,0,1,Middle_East,30,779,5,6,12
Aleppo ,10.952,Mirdasids,210,1025,1084,Truhart (1996),1,Tapsell 1983,,,,,1025,1084,Aleppo,SY,"Aleppo, Syria",36.20124,37.16117,Uqaylids,0,0,1,Middle_East,23,944,5,6,12
Aleppo ,10.952,Seljuks,301,1085,1116,Truhart (1996),1,Tapsell 1983,,,1085,1116,,,Aleppo,SY,"Aleppo, Syria",36.20124,37.16117,Aleppo (Artuqids),1,0,1,Middle_East,23,944,5,6,12
Aleppo ,10.952,Zangids,369,1124,1182,Truhart (1996),1,Tapsell 1983,,,1124,1182,,,Aleppo,SY,"Aleppo, Syria",36.20124,37.16117,Egypt (Ayyubids),1,0,1,Middle_East,24,944,5,6,12
Aleppo ,10.952,Ayyubids,33,1183,1260,Truhart (1996),1,Tapsell 1983,,,1183,1260,,,Aleppo,SY,"Aleppo, Syria",36.20124,37.16117,Mongols (Il-Khanate),1,0,1,Middle_East,24,944,5,6,12
Antioch,10.953,Seljuks,301,1085,1097,Truhart (1996),0,,,,1085,1097,,,Antioch,TR,"Antioch, Turkey",36.204722,36.181667,Antioch (Hautevilles),0,1,1,Middle_East,22,960,5,6,12
Antioch,10.953,Hautevilles,78,1098,1268,Truhart (1996),1,Tapsell 1983,1098,1268,,,,,Antioch,TR,"Antioch, Turkey",36.204722,36.181667,Egypt (Bahris),1,0,1,Middle_East,22,960,5,6,12
Jerusalem,10.973,Kings of Jerusalem,522,1099,1291,Tapsell (1983),0,,1099,1291,,,,,Jerusalem,IS,"Jerusalem, Israel",31.783333,35.216667,Egypt (Burjis),1,0,1,Middle_East,22,1417,5,6,12
Malwa,11.111,Paramaras,243,644,1151,Truhart (1996),1,Tapsell 1983,644,1151,,,,,Dhar,IN,"Dhar, India",22.59373,75.29774,Chaulukyas,0,1,1,Indian_Subcontinent,13,1352,2,7,8
Malwa,11.111,Paramaras,243,1187,1305,Truhart (1996),1,Tapsell 1983,1187,1305,,,,,Dhar,IN,"Dhar, India",22.59373,75.29774,Delhi Sultanate (Khalji),1,0,1,Indian_Subcontinent,18,1352,2,7,8
Dhar,11.119,Ghuri,110,1387,1435,Truhart (1996),1,Tapsell 1983,1387,1435,,,1387,1435,Dhar,IN,"Dhar, India",22.59373,75.29774,Dhar (Khalji),1,0,0,Indian_Subcontinent,20,1352,2,7,8
Dhar,11.119,Khalji,161,1436,1531,Truhart (1996),1,Tapsell 1983,1436,1531,,,1436,1531,Dhar,IN,"Dhar, India",22.59373,75.29774,Gujarat,0,1,1,Indian_Subcontinent,21,1352,2,7,8
Tripuri,11.181,Kalachuris,152,530,1195,Truhart (1996),0,,530,1195,,,,,Tripuri,IN,"Tewar, India",23.143,79.8465,Malwa (Paramaras),0,1,1,Indian_Subcontinent,12,1243,2,7,8
Jejaka-bhukti,11.182,Chandellas,65,820,1569,Truhart (1996),1,Tapsell 1983,820,1569,,,,,Khajuraho,IN,"Khajuraho Group of Monuments, India",24.851579,79.928842,Disintegration,,,0,Indian_Subcontinent,8,1055,2,7,8
Rewa,11.232,Kalachuris,152,1100,1199,Truhart (1996),0,,1100,1199,,,,,Dhavalakka,IN,"Dholka, India",22.72,72.47,,,,,Indian_Subcontinent,30,1436,2,7,8
Chera,11.32,Kulaseskhara,178,825,1102,Truhart (1996),1,Tapsell 1983,825,1102,,,,,Makotai,IN,"Kodungallur, India",10.233761,76.194634,Disintegration,,,0,Indian_Subcontinent,11,2685,2,3,3
Kolhapur,11.373,Marathas,202,1663,1949,Truhart (1996),1,Tapsell 1983,,,,,,,Kolhapur,IN,"Kolhapur, India",16.691667,74.233333,India,0,0,0,Indian_Subcontinent,19,2013,2,3,8
Madura,11.402,Pandyas,242,980,1020,Truhart (1996),0,,980,1020,,,,,Madura,IN,"Madurai, India",9.9252,78.1198,Tanjur (Cholas),0,1,1,Indian_Subcontinent,12,2705,2,3,3
Madura,11.402,Pandyas,242,1070,1310,Truhart (1996),1,Tapsell 1983,1070,1310,,,,,Madura,IN,"Madurai, India",9.9252,78.1198,Delhi Sultanate (Khalji),1,0,1,Indian_Subcontinent,13,2705,2,3,3
Warangal,11.409,Kakatiyas,151,1000,1323,Truhart (1996),1,Tapsell 1983,1000,1323,,,,,Warangal,IN,"Warangal, India",17.9689,79.5941,Delhi Sultanate (Tughluqs),1,0,1,Indian_Subcontinent,13,1814,2,3,8
Gangavadi,11.413,Gangas,105,325,1024,Truhart (1996),0,,325,1024,,,,,Kolar,IN,"Kolar, India",13.1333,78.1333,Tanjur (Cholas),0,1,1,Indian_Subcontinent,6,2350,2,3,8
Tanjur,11.415,Cholas,72,846,1269,Truhart (1996),1,Tapsell 1983,846,1269,,,,,Thanjavur,IN,"Thanjavur, India",10.787,79.137806,Madura (Pandyas),0,1,1,Indian_Subcontinent,12,2608,2,3,3
Tanjur,11.415,Pandyas,242,1270,1309,Truhart (1996),0,,1270,1309,,,,,Thanjavur,IN,"Thanjavur, India",10.787,79.137806,Delhi Sultanate (Khalji),1,0,1,Indian_Subcontinent,16,2608,2,3,3
Vengi,11.434,Chalukyas,64,624,1075,Truhart (1996),1,Tapsell 1983,624,1075,,,,,Vengi,IN,"Pedavegi, India",16.770809,81.103864,Tanjur (Cholas),0,1,1,Indian_Subcontinent,9,1957,2,3,8
Bijapur,11.436,Adil Shahis,4,1489,1686,Truhart (1996),1,Tapsell 1983,1489,1686,,,1489,1686,Bijapur,IN,"Bijapur, India",16.831387,75.713075,Mughals,1,0,1,Indian_Subcontinent,17,1967,2,3,8
Bidar,11.441,Barid Shahis,39,1526,1619,Truhart (1996),1,Tapsell 1983,1526,1619,,,1526,1619,Bidar,IN,"Bidar, India",17.900341,77.55249,Bijapur,1,1,1,Indian_Subcontinent,18,1827,2,3,8
